datetime,prefecture,pop_male,pop_female,pop_sum,pop_households
2000-01-01,北海道,2726996,2955831,5682827,2409748
2000-01-01,青森県,719503,780222,1499725,533622
2000-01-01,岩手県,689575,735560,1425135,476527
2000-01-01,宮城県,1149560,1194292,2343852,820971
2000-01-01,秋田県,574332,629139,1203471,401028
2000-01-01,山形県,602709,642246,1244955,377170
2000-01-01,福島県,1043430,1092914,2136344,691438
2000-01-01,茨城県,1498343,1495529,2993872,994283
2000-01-01,栃木県,994851,1005646,2000497,667731
2000-01-01,群馬県,997987,1019781,2017768,686418
2000-01-01,埼玉県,3473605,3396398,6870003,2494032
2000-01-01,千葉県,2970072,2923094,5893166,2202096
2000-01-01,東京都,5850975,5892214,11743189,5410701
2000-01-01,神奈川県,4254083,4116209,8370292,3367173
2000-01-01,新潟県,1207399,1274987,2482386,783615
2000-01-01,富山県,543483,582536,1126019,354190
2000-01-01,石川県,569110,606551,1175661,400095
2000-01-01,福井県,401923,426266,828189,252810
2000-01-01,山梨県,435760,449662,885422,306705
2000-01-01,長野県,1076876,1125441,2202317,745221
2000-01-01,岐阜県,1027611,1081536,2109147,672234
2000-01-01,静岡県,1854312,1905178,3759490,1281912
2000-01-01,愛知県,3457537,3449442,6906979,2489443
2000-01-01,三重県,903453,953923,1857376,642217
2000-01-01,滋賀県,653645,671973,1325618,429956
2000-01-01,京都府,1241846,1321509,2563355,1003072
2000-01-01,大阪府,4237819,4388947,8626766,3490552
2000-01-01,兵庫県,2678372,2843054,5521426,2081509
2000-01-01,奈良県,698990,750156,1449146,505105
2000-01-01,和歌山県,520614,570646,1091260,398730
2000-01-01,鳥取県,295966,321859,617825,207962
2000-01-01,島根県,365127,398572,763699,260159
2000-01-01,岡山県,944447,1013217,1957664,704896
2000-01-01,広島県,1393292,1481023,2874315,1122814
2000-01-01,山口県,727270,807165,1534435,603619
2000-01-01,徳島県,398844,434564,833408,295137
2000-01-01,香川県,498551,536003,1034554,375751
2000-01-01,愛媛県,717402,794453,1511855,582904
2000-01-01,高知県,386919,432333,819252,332432
2000-01-01,福岡県,2370302,2597384,4967686,1922863
2000-01-01,佐賀県,419909,463602,883511,284506
2000-01-01,長崎県,723124,809111,1532235,574155
2000-01-01,熊本県,885819,984000,1869819,664172
2000-01-01,大分県,585511,650897,1236408,463631
2000-01-01,宮崎県,563067,623964,1187031,457458
2000-01-01,鹿児島県,840746,946375,1787121,736210
2000-01-01,沖縄県,654766,670068,1324834,460932
2001-01-01,北海道,2719862,2955447,5675309,2436803
2001-01-01,青森県,717802,779234,1497036,538269
2001-01-01,岩手県,688014,733782,1421796,479898
2001-01-01,宮城県,1150114,1197052,2347166,830137
2001-01-01,秋田県,571313,626253,1197566,403765
2001-01-01,山形県,600835,640529,1241364,380216
2001-01-01,福島県,1042154,1091242,2133396,697883
2001-01-01,茨城県,1498592,1496991,2995583,1005916
2001-01-01,栃木県,996280,1007003,2003283,676522
2001-01-01,群馬県,998774,1020952,2019726,694974
2001-01-01,埼玉県,3486548,3411671,6898219,2533096
2001-01-01,千葉県,2982470,2937928,5920398,2237604
2001-01-01,東京都,5887300,5931545,11818845,5499594
2001-01-01,神奈川県,4278479,4147304,8425783,3423758
2001-01-01,新潟県,1204445,1272455,2476900,790262
2001-01-01,富山県,542973,581441,1124414,357780
2001-01-01,石川県,568833,607768,1176601,404542
2001-01-01,福井県,401854,426185,828039,254986
2001-01-01,山梨県,436302,449775,886077,310247
2001-01-01,長野県,1078463,1126035,2204498,754206
2001-01-01,岐阜県,1027856,1081948,2109804,679490
2001-01-01,静岡県,1856656,1907398,3764054,1297993
2001-01-01,愛知県,3469761,3465270,6935031,2522862
2001-01-01,三重県,904198,954692,1858890,649763
