datetime,prefecture,mig_in,mig_out,mig_internal
2005-04-01,北海道,11705,13894,52526
2005-04-01,青森県,4230,6603,5525
2005-04-01,岩手県,4082,5984,4840
2005-04-01,宮城県,11923,11763,8840
2005-04-01,秋田県,3051,4640,2860
2005-04-01,山形県,3283,5168,3744
2005-04-01,福島県,5251,7362,5821
2005-04-01,茨城県,10026,10747,6799
2005-04-01,栃木県,5911,6965,3526
2005-04-01,群馬県,5736,5810,4135
2005-04-01,埼玉県,25239,23704,16640
2005-04-01,千葉県,27075,24800,14657
2005-04-01,東京都,70839,50029,40813
2005-04-01,神奈川県,38145,31365,24479
2005-04-01,新潟県,5753,7077,5340
2005-04-01,富山県,2831,3412,1275
2005-04-01,石川県,3831,4493,2290
2005-04-01,福井県,1843,2566,1237
2005-04-01,山梨県,2984,2717,1773
2005-04-01,長野県,5398,7226,6161
2005-04-01,岐阜県,5356,6151,5487
2005-04-01,静岡県,10282,12312,8254
2005-04-01,愛知県,23187,19362,20643
2005-04-01,三重県,4976,5526,4095
2005-04-01,滋賀県,4717,4461,2459
2005-04-01,京都府,10751,10146,6945
2005-04-01,大阪府,28371,26890,22783
2005-04-01,兵庫県,17498,17259,13399
2005-04-01,奈良県,4742,5259,2386
2005-04-01,和歌山県,2133,3181,2239
2005-04-01,鳥取県,2387,2950,1712
2005-04-01,島根県,2512,3265,3912
2005-04-01,岡山県,6427,6786,3326
2005-04-01,広島県,11912,11851,9435
2005-04-01,山口県,6015,6654,5582
2005-04-01,徳島県,2297,2851,2279
2005-04-01,香川県,4252,4827,2275
2005-04-01,愛媛県,4259,5688,5591
2005-04-01,高知県,2384,3022,3167
2005-04-01,福岡県,23674,21432,19986
2005-04-01,佐賀県,3168,4110,2074
2005-04-01,長崎県,5949,7872,5740
2005-04-01,熊本県,6259,8433,7295
2005-04-01,大分県,4282,5223,3322
2005-04-01,宮崎県,4845,6435,6152
2005-04-01,鹿児島県,6696,9653,14448
2005-04-01,沖縄県,5121,5664,8212
2005-05-01,北海道,3942,4643,15807
2005-05-01,青森県,1478,1918,1309
2005-05-01,岩手県,1402,1746,1678
2005-05-01,宮城県,3641,3837,4934
2005-05-01,秋田県,974,1331,964
2005-05-01,山形県,1022,1297,1285
2005-05-01,福島県,2084,2579,2162
2005-05-01,茨城県,3823,4110,4020
2005-05-01,栃木県,2875,2703,2346
2005-05-01,群馬県,2192,2367,2728
2005-05-01,埼玉県,12690,12385,12616
2005-05-01,千葉県,11683,11534,10274
2005-05-01,東京都,33232,26351,29980
2005-05-01,神奈川県,17616,16519,18673
2005-05-01,新潟県,1894,2415,2174
2005-05-01,富山県,992,1149,980
2005-05-01,石川県,1310,1487,1322
2005-05-01,福井県,706,858,861
2005-05-01,山梨県,1019,1104,1317
2005-05-01,長野県,2505,2653,3148
2005-05-01,岐阜県,2276,2655,2468
2005-05-01,静岡県,4541,4557,5452
2005-05-01,愛知県,9854,7864,15505
2005-05-01,三重県,2454,2394,2305
2005-05-01,滋賀県,2256,2117,1744
2005-05-01,京都府,4316,4737,4447
2005-05-01,大阪府,13060,13929,18793
2005-05-01,兵庫県,7535,8015,8608
2005-05-01,奈良県,2023,2590,1804
2005-05-01,和歌山県,1033,1286,1023
2005-05-01,鳥取県,703,919,523
2005-05-01,島根県,793,929,565
2005-05-01,岡山県,2357,2321,1976
2005-05-01,広島県,3838,4090,5205
2005-05-01,山口県,1802,2220,1814
2005-05-01,徳島県,758,971,939
2005-05-01,香川県,1375,1502,1256
2005-05-01,愛媛県,1580,1858,1557
2005-05-01,高知県,745,899,1107
2005-05-01,福岡県,7793,8179,13632
2005-05-01,佐賀県,1219,1414,1113
2005-05-01,長崎県,1756,2293,1815
2005-05-01,熊本県,2105,2300,2607
2005-05-01,大分県,1575,1774,1427
2005-05-01,宮崎県,1549,1710,1699
2005-05-01,鹿児島県,2295,2367,2714
2005-05-01,沖縄県,1861,1656,3363
2005-06-01,北海道,3347,3695,13818
2005-06-01,青森県,1174,1499,1250
2005-06-01,岩手県,1102,1305,1422
2005-06-01,宮城県,2675,2735,4288
