datetime,prefecture,wag_age,wag_salary,wag_bonus,wag_workers
2008-01-01,北海道,41.6,299300,767600,814020
2008-01-01,青森県,40.9,247600,552900,204810
2008-01-01,岩手県,41.9,255400,547300,213920
2008-01-01,宮城県,41.1,301700,739500,332470
2008-01-01,秋田県,42.1,252500,252500,183900
2008-01-01,山形県,41.4,258600,528500,201470
2008-01-01,福島県,40.8,284100,695300,341130
2008-01-01,茨城県,41.3,338100,1007800,433520
2008-01-01,栃木県,41.1,322700,898300,394720
2008-01-01,群馬県,41.2,308100,788200,333080
2008-01-01,埼玉県,41.3,324600,840100,865420
2008-01-01,千葉県,41.1,331600,857600,672050
2008-01-01,東京都,39.8,396500,1239000,3637600
2008-01-01,神奈川県,41.2,371000,1088000,1094220
2008-01-01,新潟県,42.0,280000,644500,447480
2008-01-01,富山県,42.0,298800,695000,228510
2008-01-01,石川県,41.0,293800,744200,209730
2008-01-01,福井県,41.3,296800,741800,148470
2008-01-01,山梨県,41.4,307300,802300,126930
2008-01-01,長野県,42.3,296700,744300,413430
2008-01-01,岐阜県,41.3,304400,710400,312310
2008-01-01,静岡県,41.0,325000,921600,756280
2008-01-01,愛知県,39.8,351000,1115200,1549940
2008-01-01,三重県,40.8,328600,910800,304970
2008-01-01,滋賀県,39.7,332600,930200,191170
2008-01-01,京都府,41.0,329100,919900,369550
2008-01-01,大阪府,40.7,352500,1006000,1490190
2008-01-01,兵庫県,41.3,325300,889700,735310
2008-01-01,奈良県,41.0,328900,854600,124330
2008-01-01,和歌山県,41.2,302300,825200,112820
2008-01-01,鳥取県,41.7,263400,625700,100510
2008-01-01,島根県,41.7,272200,657800,123870
2008-01-01,岡山県,41.0,310700,838200,295880
2008-01-01,広島県,41.5,322500,904900,529140
2008-01-01,山口県,41.6,292700,769000,246340
2008-01-01,徳島県,42.0,295900,853000,101080
2008-01-01,香川県,41.5,296200,736200,164750
2008-01-01,愛媛県,41.0,281000,698400,234580
2008-01-01,高知県,42.2,271600,629300,88220
2008-01-01,福岡県,40.5,298100,794300,931350
2008-01-01,佐賀県,41.3,267000,633100,139330
2008-01-01,長崎県,42.3,274500,688100,191380
2008-01-01,熊本県,42.0,269100,662000,273110
2008-01-01,大分県,41.0,273800,708300,175120
2008-01-01,宮崎県,41.8,252300,604600,164380
2008-01-01,鹿児島県,40.3,269500,667300,276160
2008-01-01,沖縄県,40.6,235000,425200,176200
2009-01-01,北海道,42.0,278300,695700,840210
2009-01-01,青森県,42.2,238400,461000,186490
2009-01-01,岩手県,42.3,254400,549400,205230
2009-01-01,宮城県,41.4,289100,702600,311400
2009-01-01,秋田県,42.2,247900,546700,177510
2009-01-01,山形県,41.2,255300,538100,194360
2009-01-01,福島県,41.2,271200,629800,302500
2009-01-01,茨城県,41.3,318300,879000,376950
2009-01-01,栃木県,40.9,307100,876800,334740
2009-01-01,群馬県,41.1,297500,784000,312050
2009-01-01,埼玉県,41.6,317400,795100,836390
2009-01-01,千葉県,41.4,319600,798000,656490
2009-01-01,東京都,40.4,394300,1217400,3474590
2009-01-01,神奈川県,40.9,347000,1029300,1168940
2009-01-01,新潟県,42.0,275100,672700,422470
2009-01-01,富山県,42.2,282300,747300,199190
2009-01-01,石川県,41.3,284000,735800,196620
2009-01-01,福井県,42.0,284300,710900,141760
2009-01-01,山梨県,42.0,294300,762600,117100
2009-01-01,長野県,41.5,289600,776500,357420
2009-01-01,岐阜県,41.5,294600,759000,287090
2009-01-01,静岡県,41.4,301800,871100,632300
2009-01-01,愛知県,40.4,336100,1143700,1449530
2009-01-01,三重県,41.0,313400,904100,274140
2009-01-01,滋賀県,40.0,312300,895300,192380
2009-01-01,京都府,41.5,316500,896000,344330
2009-01-01,大阪府,41.3,342000,988200,1326210
2009-01-01,兵庫県,41.0,317900,901000,770130
2009-01-01,奈良県,41.3,310000,834300,125910
2009-01-01,和歌山県,41.1,306900,846400,109200
2009-01-01,鳥取県,41.7,250200,542400,85860
2009-01-01,島根県,41.8,261200,594500,110960
2009-01-01,岡山県,41.6,294700,781600,288210
2009-01-01,広島県,41.8,296600,788900,502420
2009-01-01,山口県,41.9,288500,792700,240870
2009-01-01,徳島県,42.4,278100,797500,95670
2009-01-01,香川県,41.9,291400,771400,156270
2009-01-01,愛媛県,41.5,278600,712400,217800
2009-01-01,高知県,42.0,267400,633100,87140
2009-01-01,福岡県,40.6,290700,759300,929140
2009-01-01,佐賀県,41.1,267700,677200,141680
2009-01-01,長崎県,41.8,270700,630500,196170
2009-01-01,熊本県,41.3,262700,600700,308820
2009-01-01,大分県,40.9,264800,705600,163960
2009-01-01,宮崎県,41.1,248900,598200,152400
2009-01-01,鹿児島県,41.6,260800,558800,232950
2009-01-01,沖縄県,40.1,238800,404000,186590
2010-01-01,北海道,42.2,284500,671500,748130
2010-01-01,青森県,42.4,244800,439900,177660
2010-01-01,岩手県,42.3,257500,492600,195320
2010-01-01,宮城県,41.7,285300,644600,314420
2010-01-01,秋田県,42.5,248700,468300,180260
2010-01-01,山形県,42.2,258600,473000,181390
2010-01-01,福島県,41.9,279800,562500,294080
2010-01-01,茨城県,41.4,328300,851300,423850
2010-01-01,栃木県,41.3,311200,762500,360330
2010-01-01,群馬県,42.3,304600,662300,290340
2010-01-01,埼玉県,41.6,327500,757400,905490
2010-01-01,千葉県,41.2,327200,794400,600200
2010-01-01,東京都,40.5,391100,1043800,3255260
2010-01-01,神奈川県,41.7,359000,879600,1081470
2010-01-01,新潟県,41.9,283400,623100,411080
2010-01-01,富山県,41.6,291200,628000,186120
2010-01-01,石川県,41.9,289800,658200,193820
2010-01-01,福井県,42.2,290900,637400,142140
2010-01-01,山梨県,41.7,298400,629500,117810
2010-01-01,長野県,41.9,295000,610400,338310
2010-01-01,岐阜県,41.5,304800,670200,278070
2010-01-01,静岡県,41.1,310300,767900,623870
2010-01-01,愛知県,40.1,349200,983800,1445610
2010-01-01,三重県,40.9,328800,867200,288440
2010-01-01,滋賀県,40.3,322600,787600,195940
2010-01-01,京都府,41.4,323600,783100,298770
2010-01-01,大阪府,40.8,339900,813000,1326410
2010-01-01,兵庫県,41.5,323500,873000,679010
2010-01-01,奈良県,41.6,304000,703200,130490
2010-01-01,和歌山県,41.2,295000,709700,104740
2010-01-01,鳥取県,41.5,254200,521100,95350
2010-01-01,島根県,42.0,263400,552100,103560
2010-01-01,岡山県,41.4,294300,691400,278940
2010-01-01,広島県,41.7,309300,758400,520730
2010-01-01,山口県,42.6,300000,733000,244700
