datetime,prefecture,idt_offices,idt_employees,idt_salaries,idt_costs,idt_sales
2000-01-01,北海道,12116,225110,807016000000,3285615000000,5977142000000
2000-01-01,青森県,3636,77198,220494000000,820629000000,1388952000000
2000-01-01,岩手県,4648,114896,378414000000,1390877000000,2468908000000
2000-01-01,宮城県,6684,148235,544701000000,2159802000000,3889634000000
2000-01-01,秋田県,4881,96106,297983000000,1008121000000,1722609000000
2000-01-01,山形県,6857,134300,459722000000,1748781000000,2990701000000
2000-01-01,福島県,9678,208479,786753000000,3004798000000,5743209000000
2000-01-01,茨城県,12720,295716,1347290000000,6195753000000,10784394000000
2000-01-01,栃木県,12641,227248,1017886000000,4215333000000,7720636000000
2000-01-01,群馬県,14726,251999,1079447000000,4746080000000,8097435000000
2000-01-01,埼玉県,33086,507323,2201729000000,8428865000000,14663393000000
2000-01-01,千葉県,12708,263454,1227662000000,6489966000000,11518786000000
2000-01-01,東京都,62127,622121,3171610000000,9785385000000,18387693000000
2000-01-01,神奈川県,22163,523527,2866658000000,12472619000000,21865291000000
2000-01-01,新潟県,16089,241969,852091000000,2440250000000,4739003000000
2000-01-01,富山県,6359,138911,581021000000,1752858000000,3484383000000
2000-01-01,石川県,10274,116973,446174000000,1406155000000,2554498000000
2000-01-01,福井県,7292,94078,363772000000,1077817000000,2013484000000
2000-01-01,山梨県,6193,89303,381517000000,1507316000000,2663183000000
2000-01-01,長野県,14435,251339,1079413000000,3966630000000,7094369000000
2000-01-01,岐阜県,20306,233222,882055000000,2878428000000,5183329000000
2000-01-01,静岡県,25717,482098,2193574000000,9424769000000,16781084000000
2000-01-01,愛知県,48914,866359,4295634000000,22044407000000,34604074000000
2000-01-01,三重県,9702,203766,945943000000,4895674000000,8143077000000
2000-01-01,滋賀県,6675,160505,778179000000,3476557000000,6424541000000
2000-01-01,京都府,18153,195947,837337000000,3087896000000,5971626000000
2000-01-01,大阪府,56862,687967,3148128000000,9682710000000,18368960000000
2000-01-01,兵庫県,22761,419569,1956469000000,7562682000000,14182837000000
2000-01-01,奈良県,6585,86623,360148000000,1410481000000,2455736000000
2000-01-01,和歌山県,5249,64342,257600000000,1156332000000,2289215000000
2000-01-01,鳥取県,2161,48467,166814000000,679434000000,1207468000000
2000-01-01,島根県,3084,54832,188451000000,748097000000,1238197000000
2000-01-01,岡山県,8641,171800,741194000000,3777562000000,6404536000000
2000-01-01,広島県,11993,234679,1068870000000,3975278000000,7278075000000
2000-01-01,山口県,4164,109327,508688000000,2671317000000,4860012000000
2000-01-01,徳島県,3741,61061,239111000000,731284000000,1520834000000
2000-01-01,香川県,5212,80841,304199000000,1229758000000,2170696000000
2000-01-01,愛媛県,6009,105108,401998000000,2034645000000,3489548000000
2000-01-01,高知県,2891,35557,115845000000,295962000000,654727000000
2000-01-01,福岡県,13303,262180,1113117000000,4070789000000,7426357000000
2000-01-01,佐賀県,3301,66020,245118000000,902681000000,1623798000000
2000-01-01,長崎県,4687,73284,271172000000,860237000000,1553858000000
2000-01-01,熊本県,4543,104514,379363000000,1610586000000,2834040000000
2000-01-01,大分県,3456,74493,287766000000,1666513000000,3099859000000
2000-01-01,宮崎県,3323,66869,222608000000,736379000000,1334254000000
2000-01-01,鹿児島県,6200,94651,310168000000,1045650000000,2058101000000
2000-01-01,沖縄県,2767,27673,81549000000,385652000000,655871000000
2001-01-01,北海道,8394,212762,759115000000,3130457000000,5608287000000
2001-01-01,青森県,2221,68358,207156000000,757467000000,1251843000000
2001-01-01,岩手県,3070,103154,357275000000,1313158000000,2263336000000
2001-01-01,宮城県,4174,136565,516693000000,2054207000000,3658847000000
2001-01-01,秋田県,2913,83390,272873000000,816315000000,1493271000000
2001-01-01,山形県,3844,119855,433365000000,1582337000000,2670806000000
2001-01-01,福島県,5870,191453,751378000000,2870026000000,5373391000000
2001-01-01,茨城県,7689,279231,1308384000000,5861913000000,10275321000000
2001-01-01,栃木県,6553,211166,1016906000000,4194552000000,7503218000000
2001-01-01,群馬県,7516,229181,1031725000000,4665579000000,7778619000000
2001-01-01,埼玉県,17483,456493,2049703000000,8215243000000,13939813000000
2001-01-01,千葉県,7630,244642,1162339000000,6433087000000,10885200000000
2001-01-01,東京都,27066,524586,2850223000000,8784712000000,16568630000000
2001-01-01,神奈川県,12600,478223,2706047000000,11620366000000,19910040000000
2001-01-01,新潟県,8279,217685,808541000000,2290132000000,4382361000000
2001-01-01,富山県,3938,131034,553064000000,1647501000000,3317581000000
2001-01-01,石川県,4752,104726,421591000000,1284106000000,2517010000000
2001-01-01,福井県,3751,84227,340660000000,937778000000,1777053000000
2001-01-01,山梨県,2849,79282,363371000000,1367352000000,2340618000000
2001-01-01,長野県,7565,228604,1024899000000,3658977000000,6517289000000
2001-01-01,岐阜県,9716,210255,839149000000,2770413000000,4959937000000
2001-01-01,静岡県,14630,455455,2126789000000,9254668000000,16186259000000
2001-01-01,愛知県,25994,812320,4173706000000,21866779000000,34536352000000
2001-01-01,三重県,5646,194423,932287000000,4685135000000,7659949000000
2001-01-01,滋賀県,3752,154669,755151000000,3250044000000,6062972000000
2001-01-01,京都府,7052,168596,795195000000,2736150000000,5211244000000
2001-01-01,大阪府,29638,614077,2916002000000,9059582000000,17278400000000
2001-01-01,兵庫県,13066,391229,1859575000000,7213390000000,13121288000000
2001-01-01,奈良県,3243,76211,328889000000,1219621000000,2147886000000
2001-01-01,和歌山県,2847,57418,237552000000,1070162000000,2243396000000
2001-01-01,鳥取県,1345,42272,158490000000,600047000000,1105831000000
2001-01-01,島根県,1920,49955,175492000000,625539000000,1065046000000
2001-01-01,岡山県,5085,163013,723405000000,3563361000000,6248229000000
2001-01-01,広島県,7065,216908,1021965000000,3752786000000,6797664000000
2001-01-01,山口県,2663,105552,488878000000,2714961000000,4876937000000
2001-01-01,徳島県,2129,55038,236985000000,666645000000,1451971000000
2001-01-01,香川県,2963,74431,287583000000,1193372000000,2122994000000
2001-01-01,愛媛県,3582,96104,381020000000,1902412000000,3286034000000
2001-01-01,高知県,1571,32125,107115000000,268162000000,573856000000
