datetime,prefecture,ret_offices,ret_employees,ret_sales
1982-01-01,北海道,83603 ,482084 ,19059447000000 
1985-01-01,北海道,78860 ,466405 ,19629979000000 
1982-01-01,青森県,28676 ,126797 ,3224496000000 
1985-01-01,青森県,27022 ,124126 ,3331373000000 
1982-01-01,岩手県,26769 ,112400 ,2985548000000 
1985-01-01,岩手県,25262 ,109166 ,3223634000000 
1982-01-01,宮城県,39589 ,200675 ,9854831000000 
1985-01-01,宮城県,37611 ,194899 ,10328712000000 
1982-01-01,秋田県,25507 ,104484 ,2663395000000 
1985-01-01,秋田県,23886 ,100090 ,2892466000000 
1982-01-01,山形県,24959 ,104618 ,2819593000000 
1985-01-01,山形県,23649 ,100103 ,2876628000000 
1982-01-01,福島県,37843 ,157557 ,4027294000000 
1985-01-01,福島県,36174 ,154046 ,4417864000000 
1982-01-01,茨城県,43931 ,180953 ,4802799000000 
1985-01-01,茨城県,42166 ,183342 ,5429946000000 
1982-01-01,栃木県,34162 ,142729 ,3962782000000 
1985-01-01,栃木県,32473 ,139721 ,4403179000000 
1982-01-01,群馬県,33914 ,148471 ,4406021000000 
1985-01-01,群馬県,32336 ,144405 ,5149924000000 
1982-01-01,埼玉県,74012 ,326563 ,8835195000000 
1985-01-01,埼玉県,71908 ,338051 ,10433348000000 
1982-01-01,千葉県,64126 ,297617 ,7930400000000 
1985-01-01,千葉県,62119 ,308480 ,8797317000000 
1982-01-01,東京都,234501 ,1584410 ,163033307000000 
1985-01-01,東京都,219011 ,1521464 ,170234054000000 
1982-01-01,神奈川県,89407 ,435732 ,13452321000000 
1985-01-01,神奈川県,86184 ,450041 ,15234567000000 
1982-01-01,新潟県,48079 ,216137 ,6567099000000 
1985-01-01,新潟県,46065 ,210481 ,6906348000000 
1982-01-01,富山県,24084 ,102326 ,3362586000000 
1985-01-01,富山県,22979 ,99457 ,3644282000000 
1982-01-01,石川県,23334 ,106782 ,3983995000000 
1985-01-01,石川県,22477 ,105608 ,4114049000000 
1982-01-01,福井県,17230 ,71714 ,2166489000000 
1985-01-01,福井県,16564 ,72118 ,2292700000000 
1982-01-01,山梨県,16197 ,61435 ,1478065000000 
1985-01-01,山梨県,15405 ,61055 ,1561180000000 
1982-01-01,長野県,38393 ,170003 ,4905986000000 
1985-01-01,長野県,35643 ,163648 ,6222597000000 
1982-01-01,岐阜県,38345 ,164668 ,4383027000000 
1985-01-01,岐阜県,36704 ,163401 ,4743191000000 
1982-01-01,静岡県,66787 ,295270 ,9546990000000 
1985-01-01,静岡県,63955 ,292541 ,11059754000000 
1982-01-01,愛知県,115470 ,619117 ,38394099000000 
1985-01-01,愛知県,110685 ,624809 ,43875669000000 
1982-01-01,三重県,31000 ,127855 ,3081240000000 
1985-01-01,三重県,29950 ,128795 ,3433451000000 
1982-01-01,滋賀県,18888 ,77060 ,1720535000000 
1985-01-01,滋賀県,18059 ,78250 ,1903515000000 
1982-01-01,京都府,50899 ,246473 ,7722854000000 
1985-01-01,京都府,47764 ,239886 ,7590612000000 
1982-01-01,大阪府,173456 ,998861 ,70109079000000 
1985-01-01,大阪府,163525 ,995285 ,76527003000000 
1982-01-01,兵庫県,90774 ,402272 ,12319676000000 
1985-01-01,兵庫県,86541 ,400809 ,13200702000000 
1982-01-01,奈良県,18452 ,69043 ,1419093000000 
1985-01-01,奈良県,17753 ,70364 ,1467079000000 
1982-01-01,和歌山県,23916 ,88277 ,1867007000000 
1985-01-01,和歌山県,22733 ,85683 ,1935758000000 
1982-01-01,鳥取県,11614 ,51688 ,1337123000000 
1985-01-01,鳥取県,10891 ,49858 ,1363233000000 
1982-01-01,島根県,16692 ,67249 ,1569330000000 
1985-01-01,島根県,15752 ,64205 ,1624064000000 
1982-01-01,岡山県,34029 ,152702 ,4544105000000 
1985-01-01,岡山県,32438 ,151731 ,4986143000000 
1982-01-01,広島県,53080 ,259883 ,11138439000000 
1985-01-01,広島県,50242 ,252324 ,11438956000000 
1982-01-01,山口県,32009 ,138311 ,3629670000000 
1985-01-01,山口県,30141 ,134638 ,3993440000000 
1982-01-01,徳島県,17719 ,64108 ,1351042000000 
1985-01-01,徳島県,16881 ,64435 ,1452088000000 
1982-01-01,香川県,20892 ,93354 ,3896780000000 
1985-01-01,香川県,20014 ,91419 ,3975251000000 
1982-01-01,愛媛県,29777 ,120749 ,3120589000000 
1985-01-01,愛媛県,28431 ,119276 ,3347237000000 
1982-01-01,高知県,18706 ,72640 ,1560234000000 
1985-01-01,高知県,17699 ,69988 ,1484475000000 
1982-01-01,福岡県,87274 ,454204 ,18990420000000 
1985-01-01,福岡県,82841 ,448921 ,20399025000000 
1982-01-01,佐賀県,16846 ,68705 ,1528219000000 
1985-01-01,佐賀県,16046 ,68732 ,1637737000000 
1982-01-01,長崎県,30706 ,124657 ,2677685000000 
1985-01-01,長崎県,29152 ,123419 ,2926848000000 
1982-01-01,熊本県,33689 ,144376 ,3512772000000 
1985-01-01,熊本県,31439 ,140988 ,3780569000000 
1982-01-01,大分県,24417 ,102403 ,2387559000000 
1985-01-01,大分県,23188 ,102006 ,2448440000000 
1982-01-01,宮崎県,23253 ,97948 ,2176130000000 
1985-01-01,宮崎県,21773 ,93089 ,2244337000000 
1982-01-01,鹿児島県,36545 ,139037 ,3326340000000 
1985-01-01,鹿児島県,34261 ,136358 ,3631295000000 
1982-01-01,沖縄県,26772 ,85948 ,1675741000000 
1985-01-01,沖縄県,25008 ,89135 ,1875682000000 
1988-01-01,北海道,80523 ,500484 ,20736320000000 
1991-01-01,北海道,82431 ,523590 ,24761277000000 
